Period,March 24, 2018 -> Today at 2:59 PM,

,Time,Butler Trail - Crenshaw Bridge PC (Urban Trail)Butler Trail - Crenshaw Bridge PC (Urban Trail),Butler Trail - South Lamar PC (Urban Trail)Butler Trail - South Lamar PC (Urban Trail),Butler Trail - North Congress PC (Urban Trail)Butler Trail - North Congress PC (Urban Trail),Butler Trail - Longhorn Dam PC (Urban Trail)Butler Trail - Longhorn Dam PC (Urban Trail),Butler Trail - Crenshaw Bridge PC (Urban Trail)Channel 1 IN,Butler Trail - South Lamar PC (Urban Trail)Butler Trail (TBD) Pedestrians Eastbound,Butler Trail - North Congress PC (Urban Trail)Butler Trail (TBD) Pedestrians Eastbound,Butler Trail - Longhorn Dam PC (Urban Trail)Channel 1 IN,Butler Trail - Crenshaw Bridge PC (Urban Trail)Channel 2 OUT,Butler Trail - South Lamar PC (Urban Trail)Butler Trail (TBD) Pedestrians Westbound,Butler Trail - North Congress PC (Urban Trail)Butler Trail (TBD) Pedestrians Westbound,Butler Trail - Longhorn Dam PC (Urban Trail)Channel 2 OUT,Butler Trail - Crenshaw Bridge PC (Urban Trail)Channel 3 IN,Butler Trail - South Lamar PC (Urban Trail)Butler Trail (TBD) Cyclists Eastbound,Butler Trail - North Congress PC (Urban Trail)Butler Trail (TBD) Cyclists Eastbound,Butler Trail - Longhorn Dam PC (Urban Trail)Channel 3 IN,Butler Trail - Crenshaw Bridge PC (Urban Trail)Channel 4 OUT,Butler Trail - South Lamar PC (Urban Trail)Butler Trail (TBD) Cyclists Westbound,Butler Trail - North Congress PC (Urban Trail)Butler Trail (TBD) Cyclists Westbound,Butler Trail - Longhorn Dam PC (Urban Trail)Channel 4 OUT,
,Jul 20, 2018 10:15 AM,,42,40,13,,24,15,8,,16,13,,,,5,3,,2,7,2,
,Jul 20, 2018 10:30 AM,,48,63,7,,20,14,,,18,16,3,,5,7,1,,5,26,3,
,Jul 20, 2018 10:45 AM,,48,44,18,,18,28,3,,14,12,6,,15,1,6,,1,3,3,
,Jul 20, 2018 11:00 AM,,26,22,3,,13,10,1,,12,8,,,1,1,2,,,3,,
,Jul 20, 2018 11:15 AM,,40,47,15,,17,15,5,,14,21,3,,4,4,5,,5,7,2,
,Jul 20, 2018 11:30 AM,,39,25,10,,20,9,1,,9,7,3,,6,5,3,,4,4,3,
,Jul 20, 2018 11:45 AM,,45,29,12,,17,10,1,,10,5,5,,11,10,2,,7,4,4,
,Jul 20, 2018 12:00 PM,,44,22,15,,12,5,,,21,8,5,,5,1,3,,6,8,7,
,Jul 20, 2018 12:15 PM,,22,30,3,,9,7,,,9,11,1,,1,6,,,3,6,2,
,Jul 20, 2018 12:30 PM,,21,33,7,,8,11,2,,5,14,1,,5,3,,,3,5,4,
,Jul 20, 2018 12:45 PM,,26,24,9,,6,9,4,,7,9,3,,3,2,,,10,4,2,
,Jul 20, 2018 1:00 PM,,18,29,3,,5,15,1,,5,12,,,3,2,,,5,,2,
,Jul 20, 2018 1:15 PM,,15,31,11,,7,10,5,,6,7,1,,1,10,4,,1,4,1,
,Jul 20, 2018 1:30 PM,,17,34,6,,7,10,2,,7,13,,,2,5,3,,1,6,1,
,Jul 20, 2018 1:45 PM,,12,25,8,,3,9,4,,2,9,1,,4,3,1,,3,4,2,
,Jul 20, 2018 2:00 PM,,15,21,8,,6,7,5,,6,7,3,,3,6,,,,1,,
,Jul 20, 2018 2:15 PM,,14,13,4,,6,5,1,,3,2,1,,4,3,1,,1,3,1,
,Jul 20, 2018 2:30 PM,,11,15,11,,5,2,4,,4,6,3,,,1,1,,2,6,3,
,Jul 20, 2018 2:45 PM,,10,11,9,,4,6,6,,4,,,,,3,3,,2,2,,
,Jul 20, 2018 3:00 PM,,9,21,5,,3,8,4,,2,4,,,2,4,1,,2,5,,
,Jul 20, 2018 3:15 PM,,6,29,12,,3,4,4,,,5,2,,2,8,3,,1,12,3,
,Jul 20, 2018 3:30 PM,,17,35,2,,7,9,,,3,6,1,,4,16,,,3,4,1,
,Jul 20, 2018 3:45 PM,,18,13,15,,9,4,7,,3,3,1,,3,3,3,,3,3,4,
,Jul 20, 2018 4:00 PM,,9,25,7,,4,8,1,,1,6,3,,3,7,1,,1,4,2,
,Jul 20, 2018 4:15 PM,,14,20,12,,5,4,4,,4,7,5,,2,5,1,,3,4,2,
,Jul 20, 2018 4:30 PM,,22,21,9,,9,9,,,3,5,6,,3,3,,,7,4,3,
,Jul 20, 2018 4:45 PM,,30,22,20,,9,2,5,,7,8,5,,8,7,5,,6,5,5,
,Jul 20, 2018 5:00 PM,,22,20,10,,10,7,5,,3,7,2,,5,1,2,,4,5,1,
,Jul 20, 2018 5:15 PM,,18,24,17,,6,11,7,,7,3,8,,1,6,2,,4,4,,
,Jul 20, 2018 5:30 PM,,24,30,9,,14,10,,,6,3,4,,4,8,,,,9,5,
,Jul 20, 2018 5:45 PM,,26,28,11,,16,6,4,,6,7,4,,1,9,1,,3,6,2,
,Jul 20, 2018 6:00 PM,,20,27,20,,11,11,8,,5,7,5,,4,6,2,,,3,5,
,Jul 20, 2018 6:15 PM,,25,34,12,,15,16,2,,1,4,3,,8,3,3,,1,11,4,
,Jul 20, 2018 6:30 PM,,23,17,21,,13,8,12,,4,2,4,,2,1,3,,4,6,2,
,Jul 20, 2018 6:45 PM,,15,34,9,,10,10,,,1,10,4,,3,6,2,,1,8,3,
,Jul 20, 2018 7:00 PM,,18,31,7,,11,10,5,,1,11,1,,5,4,,,1,6,1,
,Jul 20, 2018 7:15 PM,,27,33,14,,14,14,7,,1,11,4,,9,4,1,,3,4,2,
,Jul 20, 2018 7:30 PM,,22,46,17,,10,15,11,,2,26,1,,7,4,3,,3,1,2,
,Jul 20, 2018 7:45 PM,,20,56,11,,11,25,4,,3,18,1,,4,6,2,,2,7,4,
,Jul 20, 2018 8:00 PM,,17,102,22,,8,30,13,,3,66,3,,4,1,4,,2,5,2,
,Jul 20, 2018 8:15 PM,,16,80,19,,4,10,6,,2,58,5,,7,8,3,,3,4,5,
,Jul 20, 2018 8:30 PM,,15,123,27,,6,66,15,,3,48,7,,4,3,2,,2,6,3,
,Jul 20, 2018 8:45 PM,,7,104,12,,4,36,,,,61,5,,2,3,1,,1,4,6,
,Jul 20, 2018 9:00 PM,,3,54,,,2,14,,,,38,,,1,,,,,2,,
,Jul 20, 2018 9:15 PM,,2,22,4,,2,4,1,,,13,,,,2,,,,3,3,
,Jul 20, 2018 9:30 PM,,1,4,1,,1,,,,,1,,,,2,,,,1,1,
,Jul 20, 2018 9:45 PM,,2,2,1,,1,,,,,1,1,,1,,,,,1,,
,Jul 20, 2018 10:00 PM,,3,1,4,,,,2,,,,2,,2,1,,,1,,,
,Jul 20, 2018 10:15 PM,,1,1,8,,,,6,,1,,,,,,2,,,1,,
,Jul 20, 2018 10:30 PM,,,3,4,,,,2,,,3,,,,,,,,,2,
,Jul 20, 2018 10:45 PM,,2,5,3,,1,2,,,,,3,,1,1,,,,2,,
,Jul 20, 2018 11:00 PM,,4,,3,,2,,,,,,2,,2,,,,,,1,
,Jul 20, 2018 11:15 PM,,,,1,,,,,,,,,,,,1,,,,,
,Jul 20, 2018 11:30 PM,,,,1,,,,,,,,,,,,,,,,1,
,Jul 20, 2018 11:45 PM,,2,,1,,2,,,,,,1,,,,,,,,,
,Jul 21, 2018 12:00 AM,,1,2,,,,1,,,1,,,,,,,,,1,,
,Jul 21, 2018 12:15 AM,,,3,2,,,,,,,1,,,,1,,,,1,2,
,Jul 21, 2018 12:30 AM,,,1,,,,1,,,,,,,,,,,,,,
,Jul 21, 2018 12:45 AM,,,,,,,,,,,,,,,,,,,,,
,Jul 21, 2018 1:00 AM,,,1,4,,,,,,,,1,,,1,,,,,3,
,Jul 21, 2018 1:15 AM,,,1,,,,,,,,,,,,1,,,,,,
,Jul 21, 2018 1:30 AM,,1,,1,,1,,1,,,,,,,,,,,,,
,Jul 21, 2018 1:45 AM,,,,1,,,,,,,,,,,,,,,,1,
,Jul 21, 2018 2:00 AM,,,,,,,,,,,,,,,,,,,,,
,Jul 21, 2018 2:15 AM,,,,,,,,,,,,,,,,,,,,,
,Jul 21, 2018 2:30 AM,,,2,2,,,,1,,,1,,,,,1,,,1,,
,Jul 21, 2018 2:45 AM,,,,,,,,,,,,,,,,,,,,,
,Jul 21, 2018 3:00 AM,,,,,,,,,,,,,,,,,,,,,
,Jul 21, 2018 3:15 AM,,,1,,,,,,,,1,,,,,,,,,,
,Jul 21, 2018 3:30 AM,,,,2,,,,,,,,1,,,,,,,,1,
,Jul 21, 2018 3:45 AM,,3,,,,2,,,,,,,,1,,,,,,,
,Jul 21, 2018 4:00 AM,,1,,,,,,,,1,,,,,,,,,,,
,Jul 21, 2018 4:15 AM,,,,,,,,,,,,,,,,,,,,,
,Jul 21, 2018 4:30 AM,,,,2,,,,1,,,,,,,,1,,,,,
,Jul 21, 2018 4:45 AM,,,1,1,,,,,,,,1,,,1,,,,,,
,Jul 21, 2018 5:00 AM,,,,,,,,,,,,,,,,,,,,,
,Jul 21, 2018 5:15 AM,,3,2,2,,,,,,3,2,1,,,,,,,,1,
,Jul 21, 2018 5:30 AM,,8,1,3,,4,,1,,4,,2,,,,,,,1,,
,Jul 21, 2018 5:45 AM,,14,5,1,,6,3,,,8,1,1,,,1,,,,,,
,Jul 21, 2018 6:00 AM,,14,52,3,,8,31,1,,6,20,2,,,,,,,1,,
,Jul 21, 2018 6:15 AM,,86,25,4,,27,13,2,,58,12,2,,,,,,1,,,
,Jul 21, 2018 6:30 AM,,44,21,4,,18,14,1,,25,6,2,,,1,1,,1,,,
,Jul 21, 2018 6:45 AM,,85,33,26,,50,13,6,,33,16,17,,1,,1,,1,4,2,
,Jul 21, 2018 7:00 AM,,96,45,31,,61,20,18,,32,20,12,,,2,1,,3,3,,
,Jul 21, 2018 7:15 AM,,104,56,29,,64,15,10,,36,35,13,,1,2,3,,3,4,3,
,Jul 21, 2018 7:30 AM,,148,64,26,,84,20,9,,54,35,12,,8,4,3,,2,5,2,
,Jul 21, 2018 7:45 AM,,130,80,41,,70,35,22,,54,32,11,,2,7,3,,4,6,5,
,Jul 21, 2018 8:00 AM,,159,57,59,,99,18,23,,53,35,25,,5,1,5,,2,3,6,
,Jul 21, 2018 8:15 AM,,164,87,54,,92,18,22,,64,54,23,,5,3,7,,3,12,2,
,Jul 21, 2018 8:30 AM,,157,83,59,,83,29,29,,68,45,16,,3,6,4,,3,3,10,
,Jul 21, 2018 8:45 AM,,161,89,29,,87,19,14,,65,53,5,,6,5,9,,3,12,1,
,Jul 21, 2018 9:00 AM,,151,90,58,,85,32,24,,53,47,26,,7,5,3,,6,6,5,
,Jul 21, 2018 9:15 AM,,131,105,44,,71,28,12,,52,52,15,,6,6,9,,2,19,8,
,Jul 21, 2018 9:30 AM,,141,116,48,,81,38,18,,51,51,14,,5,11,7,,4,16,9,
,Jul 21, 2018 9:45 AM,,135,73,33,,61,26,9,,52,35,12,,12,3,6,,10,9,6,
,Jul 21, 2018 10:00 AM,,121,72,43,,58,22,15,,49,26,16,,4,8,7,,10,16,5,
,Jul 21, 2018 10:15 AM,,108,93,18,,53,33,3,,33,42,11,,12,4,,,10,14,4,
,Jul 21, 2018 10:30 AM,,107,71,40,,48,28,17,,34,24,5,,18,5,12,,7,14,6,
,Jul 21, 2018 10:45 AM,,101,105,31,,52,37,10,,30,24,6,,13,19,8,,6,25,7,
,Jul 21, 2018 11:00 AM,,66,59,32,,40,13,12,,16,29,8,,6,6,6,,4,11,6,
,Jul 21, 2018 11:15 AM,,89,64,33,,35,24,13,,40,16,4,,5,14,6,,9,10,10,
,Jul 21, 2018 11:30 AM,,87,55,18,,38,18,7,,29,12,1,,15,13,5,,5,12,5,
,Jul 21, 2018 11:45 AM,,58,43,32,,23,14,15,,17,10,5,,7,11,7,,11,8,5,
,Jul 21, 2018 12:00 PM,,62,56,19,,32,20,9,,10,17,3,,8,10,5,,12,9,2,
,Jul 21, 2018 12:15 PM,,69,63,31,,28,18,15,,21,24,3,,15,10,5,,5,11,8,
,Jul 21, 2018 12:30 PM,,54,57,26,,21,19,10,,15,12,4,,7,16,5,,11,10,7,
,Jul 21, 2018 12:45 PM,,38,61,17,,12,19,4,,13,14,5,,6,11,5,,7,17,3,
,Jul 21, 2018 1:00 PM,,30,43,33,,16,13,8,,8,16,10,,3,9,2,,3,5,13,
,Jul 21, 2018 1:15 PM,,35,61,32,,12,15,11,,13,17,6,,6,14,10,,4,15,5,
,Jul 21, 2018 1:30 PM,,65,42,8,,23,12,3,,21,10,1,,10,10,3,,11,10,1,
,Jul 21, 2018 1:45 PM,,21,48,13,,8,16,5,,9,13,7,,2,17,,,2,2,1,
,Jul 21, 2018 2:00 PM,,37,42,16,,12,14,8,,9,15,2,,14,6,4,,2,7,2,
,Jul 21, 2018 2:15 PM,,46,29,9,,15,13,5,,8,3,,,17,5,4,,6,8,,
,Jul 21, 2018 2:30 PM,,38,46,23,,21,15,9,,5,11,3,,7,8,6,,5,12,5,
,Jul 21, 2018 2:45 PM,,29,41,9,,12,13,2,,10,10,3,,4,8,1,,3,10,3,
,Jul 21, 2018 3:00 PM,,28,39,9,,15,12,2,,5,4,3,,6,13,1,,2,10,3,
,Jul 21, 2018 3:15 PM,,16,17,16,,4,9,5,,7,2,6,,1,4,1,,4,2,4,
,Jul 21, 2018 3:30 PM,,26,21,6,,9,7,2,,3,9,1,,14,5,1,,,,2,
,Jul 21, 2018 3:45 PM,,24,22,12,,10,7,2,,4,5,5,,7,8,1,,3,2,4,
,Jul 21, 2018 4:00 PM,,41,28,5,,19,8,2,,5,6,2,,9,11,1,,8,3,,
,Jul 21, 2018 4:15 PM,,17,26,17,,7,10,7,,3,11,3,,5,3,4,,2,2,3,
,Jul 21, 2018 4:30 PM,,10,41,10,,3,8,4,,3,6,1,,2,21,3,,2,6,2,
,Jul 21, 2018 4:45 PM,,19,22,27,,11,4,8,,,7,6,,3,6,6,,5,5,7,
,Jul 21, 2018 5:00 PM,,22,31,8,,6,4,2,,1,4,4,,13,10,2,,2,13,,
,Jul 21, 2018 5:15 PM,,18,27,6,,5,9,1,,,9,3,,11,6,1,,2,3,1,
,Jul 21, 2018 5:30 PM,,15,14,7,,7,2,1,,1,2,4,,5,7,,,2,3,2,
,Jul 21, 2018 5:45 PM,,22,27,26,,7,17,14,,2,4,6,,5,3,5,,8,3,1,
,Jul 21, 2018 6:00 PM,,13,16,47,,4,5,28,,2,6,15,,3,1,2,,4,4,2,
,Jul 21, 2018 6:15 PM,,16,21,7,,7,8,4,,,4,,,4,6,2,,5,3,1,
,Jul 21, 2018 6:30 PM,,19,33,40,,7,17,21,,3,2,15,,2,11,2,,7,3,2,
,Jul 21, 2018 6:45 PM,,26,22,11,,6,9,5,,5,7,3,,9,5,2,,6,1,1,
,Jul 21, 2018 7:00 PM,,13,44,10,,5,18,2,,2,12,2,,4,10,3,,2,4,3,
,Jul 21, 2018 7:15 PM,,18,35,13,,5,12,3,,2,11,5,,6,6,1,,5,6,4,
,Jul 21, 2018 7:30 PM,,29,48,10,,14,16,2,,2,21,4,,9,7,2,,4,4,2,
,Jul 21, 2018 7:45 PM,,18,69,16,,5,25,6,,2,34,3,,8,3,3,,3,7,4,
,Jul 21, 2018 8:00 PM,,20,86,11,,7,16,1,,3,54,4,,5,10,1,,5,6,5,
,Jul 21, 2018 8:15 PM,,20,72,9,,8,11,3,,1,49,2,,7,9,2,,4,3,2,
,Jul 21, 2018 8:30 PM,,10,143,19,,2,85,3,,,45,8,,5,5,2,,3,8,6,
,Jul 21, 2018 8:45 PM,,17,85,7,,10,28,,,,49,,,4,1,3,,3,7,4,
,Jul 21, 2018 9:00 PM,,7,39,5,,3,12,2,,1,24,,,2,1,2,,1,2,1,
,Jul 21, 2018 9:15 PM,,7,24,2,,1,7,1,,4,5,,,1,7,1,,1,5,,
,Jul 21, 2018 9:30 PM,,4,8,1,,,1,,,1,,,,2,3,1,,1,4,,
,Jul 21, 2018 9:45 PM,,5,7,2,,,2,,,,1,1,,4,3,,,1,1,1,
,Jul 21, 2018 10:00 PM,,5,17,3,,1,6,1,,,8,,,3,1,1,,1,2,1,
,Jul 21, 2018 10:15 PM,,,9,,,,1,,,,5,,,,1,,,,2,,
,Jul 21, 2018 10:30 PM,,,5,,,,,,,,3,,,,,,,,2,,
,Jul 21, 2018 10:45 PM,,2,8,,,,2,,,,6,,,1,,,,1,,,
,Jul 21, 2018 11:00 PM,,2,2,2,,1,1,,,,1,2,,1,,,,,,,
,Jul 21, 2018 11:15 PM,,,2,1,,,,,,,,,,,,,,,2,1,
,Jul 21, 2018 11:30 PM,,,5,,,,1,,,,3,,,,,,,,1,,
,Jul 21, 2018 11:45 PM,,,2,3,,,,,,,,2,,,1,,,,1,1,
,Jul 22, 2018 12:00 AM,,1,,,,,,,,1,,,,,,,,,,,
,Jul 22, 2018 12:15 AM,,3,1,2,,,1,,,3,,,,,,2,,,,,
,Jul 22, 2018 12:30 AM,,,,1,,,,,,,,1,,,,,,,,,
,Jul 22, 2018 12:45 AM,,,1,,,,,,,,1,,,,,,,,,,
,Jul 22, 2018 1:00 AM,,,,,,,,,,,,,,,,,,,,,
,Jul 22, 2018 1:15 AM,,2,6,1,,1,1,,,,1,,,,2,,,1,2,1,
,Jul 22, 2018 1:30 AM,,,2,,,,2,,,,,,,,,,,,,,
,Jul 22, 2018 1:45 AM,,,,1,,,,,,,,,,,,,,,,1,
,Jul 22, 2018 2:00 AM,,,3,,,,1,,,,2,,,,,,,,,,
,Jul 22, 2018 2:15 AM,,,,,,,,,,,,,,,,,,,,,
,Jul 22, 2018 2:30 AM,,,3,,,,,,,,2,,,,,,,,1,,
,Jul 22, 2018 2:45 AM,,,1,1,,,1,,,,,,,,,,,,,1,
,Jul 22, 2018 3:00 AM,,,1,2,,,,,,,1,,,,,,,,,2,
,Jul 22, 2018 3:15 AM,,,3,,,,,,,,3,,,,,,,,,,
,Jul 22, 2018 3:30 AM,,2,2,1,,,,,,1,2,1,,1,,,,,,,
,Jul 22, 2018 3:45 AM,,,4,1,,,,,,,4,1,,,,,,,,,
,Jul 22, 2018 4:00 AM,,2,,1,,,,1,,2,,,,,,,,,,,
,Jul 22, 2018 4:15 AM,,,,,,,,,,,,,,,,,,,,,
,Jul 22, 2018 4:30 AM,,,7,,,,6,,,,1,,,,,,,,,,
,Jul 22, 2018 4:45 AM,,,,3,,,,1,,,,,,,,1,,,,1,
,Jul 22, 2018 5:00 AM,,,2,1,,,1,,,,1,1,,,,,,,,,
,Jul 22, 2018 5:15 AM,,1,1,,,1,,,,,,,,,1,,,,,,
,Jul 22, 2018 5:30 AM,,,,1,,,,1,,,,,,,,,,,,,
,Jul 22, 2018 5:45 AM,,4,,1,,2,,1,,2,,,,,,,,,,,
,Jul 22, 2018 6:00 AM,,2,7,,,1,2,,,,4,,,1,,,,,1,,
,Jul 22, 2018 6:15 AM,,27,1,3,,23,1,1,,4,,1,,,,,,,,1,
,Jul 22, 2018 6:30 AM,,18,11,7,,12,5,6,,5,5,1,,1,1,,,,,,
,Jul 22, 2018 6:45 AM,,50,27,19,,33,6,13,,14,15,3,,1,2,2,,2,4,1,
,Jul 22, 2018 7:00 AM,,65,47,49,,42,9,29,,21,34,17,,1,1,2,,1,3,1,
,Jul 22, 2018 7:15 AM,,83,56,34,,45,12,16,,33,33,13,,2,4,2,,3,7,3,
,Jul 22, 2018 7:30 AM,,119,67,23,,60,27,9,,51,32,11,,3,3,1,,5,5,2,
,Jul 22, 2018 7:45 AM,,121,69,53,,62,21,25,,53,37,21,,2,2,3,,4,9,4,
,Jul 22, 2018 8:00 AM,,113,69,50,,55,15,14,,55,42,29,,2,6,1,,1,6,6,
,Jul 22, 2018 8:15 AM,,132,96,45,,75,38,26,,52,56,13,,1,,3,,4,2,3,
,Jul 22, 2018 8:30 AM,,134,73,51,,63,26,28,,61,41,20,,4,1,2,,6,5,1,
,Jul 22, 2018 8:45 AM,,121,88,39,,64,29,23,,45,41,10,,10,5,5,,2,13,1,
,Jul 22, 2018 9:00 AM,,123,100,39,,74,48,25,,43,45,5,,3,3,5,,3,4,4,
,Jul 22, 2018 9:15 AM,,121,96,34,,59,35,12,,49,46,10,,10,6,5,,3,9,7,
,Jul 22, 2018 9:30 AM,,101,82,39,,51,32,12,,39,38,15,,5,3,6,,6,9,6,
,Jul 22, 2018 9:45 AM,,100,99,32,,46,39,13,,45,27,9,,4,13,8,,5,20,2,
,Jul 22, 2018 10:00 AM,,90,83,31,,44,33,8,,34,43,8,,8,2,7,,4,5,8,
,Jul 22, 2018 10:15 AM,,103,73,25,,54,27,7,,29,31,6,,10,6,3,,10,9,9,
,Jul 22, 2018 10:30 AM,,78,71,40,,42,29,17,,24,31,7,,3,9,11,,9,2,5,
,Jul 22, 2018 10:45 AM,,64,87,32,,35,37,10,,17,28,9,,8,10,8,,4,12,5,
,Jul 22, 2018 11:00 AM,,72,57,16,,40,22,4,,23,13,5,,5,9,3,,4,13,4,
,Jul 22, 2018 11:15 AM,,66,57,27,,42,17,11,,16,23,6,,5,9,6,,3,8,4,
,Jul 22, 2018 11:30 AM,,50,39,20,,21,18,8,,16,10,4,,6,7,5,,7,4,3,
,Jul 22, 2018 11:45 AM,,44,31,25,,20,13,6,,19,6,8,,4,10,7,,1,2,4,
,Jul 22, 2018 12:00 PM,,44,33,22,,20,8,9,,11,9,6,,6,6,5,,7,10,2,
,Jul 22, 2018 12:15 PM,,58,48,24,,27,14,12,,17,24,6,,10,6,1,,4,4,5,
,Jul 22, 2018 12:30 PM,,50,37,9,,21,11,1,,16,12,4,,3,2,3,,10,12,1,
,Jul 22, 2018 12:45 PM,,41,38,14,,17,8,4,,12,10,2,,7,10,5,,5,10,3,
,Jul 22, 2018 1:00 PM,,31,50,24,,10,14,14,,11,10,4,,6,13,2,,4,13,4,
,Jul 22, 2018 1:15 PM,,37,28,7,,11,9,4,,6,11,2,,11,6,,,9,2,1,
,Jul 22, 2018 1:30 PM,,30,26,20,,14,9,5,,7,10,7,,5,3,1,,4,4,7,
,Jul 22, 2018 1:45 PM,,34,29,14,,7,10,7,,10,11,2,,12,6,4,,5,2,1,
,Jul 22, 2018 2:00 PM,,29,34,10,,9,9,4,,13,12,2,,2,6,2,,5,7,2,
,Jul 22, 2018 2:15 PM,,27,43,10,,9,16,6,,11,14,2,,5,4,1,,2,9,1,
,Jul 22, 2018 2:30 PM,,33,47,17,,11,21,3,,13,8,6,,6,9,2,,3,9,6,
,Jul 22, 2018 2:45 PM,,28,21,5,,10,4,2,,8,5,1,,4,7,2,,6,5,,
,Jul 22, 2018 3:00 PM,,12,34,20,,5,7,,,1,9,11,,4,10,,,2,8,9,
,Jul 22, 2018 3:15 PM,,30,29,21,,11,8,7,,5,8,6,,10,10,2,,4,3,6,
,Jul 22, 2018 3:30 PM,,30,16,16,,10,1,8,,8,3,3,,10,6,4,,2,6,1,
,Jul 22, 2018 3:45 PM,,29,23,13,,12,8,2,,9,9,4,,4,5,2,,4,1,5,
,Jul 22, 2018 4:00 PM,,23,9,9,,7,3,5,,5,,2,,5,3,,,6,3,2,
,Jul 22, 2018 4:15 PM,,25,14,9,,6,6,3,,3,3,2,,9,4,3,,7,1,1,
,Jul 22, 2018 4:30 PM,,22,30,17,,8,8,5,,8,7,3,,,12,5,,6,3,4,
,Jul 22, 2018 4:45 PM,,24,25,15,,10,16,2,,3,4,7,,7,5,2,,4,,4,
,Jul 22, 2018 5:00 PM,,20,13,5,,6,6,2,,6,3,2,,4,3,1,,4,1,,
,Jul 22, 2018 5:15 PM,,22,27,10,,10,12,1,,3,2,4,,7,4,1,,2,9,4,
,Jul 22, 2018 5:30 PM,,20,27,17,,15,6,7,,3,3,3,,1,6,3,,1,12,4,
,Jul 22, 2018 5:45 PM,,11,21,5,,7,11,1,,1,6,2,,2,,1,,1,4,1,
,Jul 22, 2018 6:00 PM,,10,27,15,,4,14,7,,,3,2,,5,8,4,,1,2,2,
,Jul 22, 2018 6:15 PM,,18,28,18,,10,4,2,,3,7,7,,5,12,2,,,5,7,
,Jul 22, 2018 6:30 PM,,12,28,13,,4,6,5,,3,9,2,,3,5,4,,2,8,2,
,Jul 22, 2018 6:45 PM,,17,42,16,,12,11,8,,1,14,2,,4,8,4,,,9,2,
,Jul 22, 2018 7:00 PM,,33,39,7,,15,13,6,,2,13,,,9,8,1,,7,5,,
,Jul 22, 2018 7:15 PM,,21,21,14,,6,6,3,,1,4,6,,9,9,1,,5,2,4,
,Jul 22, 2018 7:30 PM,,32,54,17,,17,15,6,,5,22,5,,6,8,2,,4,9,4,
,Jul 22, 2018 7:45 PM,,32,64,13,,14,17,2,,4,42,3,,8,4,5,,6,1,3,
,Jul 22, 2018 8:00 PM,,22,101,21,,8,19,8,,,69,6,,10,5,2,,4,8,5,
,Jul 22, 2018 8:15 PM,,19,46,13,,8,8,4,,3,28,2,,5,5,2,,3,5,5,
,Jul 22, 2018 8:30 PM,,22,131,10,,2,68,3,,7,57,2,,8,2,2,,5,4,3,
,Jul 22, 2018 8:45 PM,,13,52,9,,6,17,3,,1,28,1,,4,5,3,,2,2,2,
,Jul 22, 2018 9:00 PM,,,15,1,,,4,,,,5,,,,4,,,,2,1,
,Jul 22, 2018 9:15 PM,,2,16,,,1,6,,,1,7,,,,1,,,,2,,
,Jul 22, 2018 9:30 PM,,1,3,1,,,1,,,,1,,,1,1,,,,,1,
,Jul 22, 2018 9:45 PM,,2,,,,1,,,,1,,,,,,,,,,,
,Jul 22, 2018 10:00 PM,,2,2,,,1,1,,,,,,,,,,,1,1,,
,Jul 22, 2018 10:15 PM,,,,1,,,,1,,,,,,,,,,,,,
,Jul 22, 2018 10:30 PM,,,2,2,,,,1,,,,,,,1,1,,,1,,
,Jul 22, 2018 10:45 PM,,3,,4,,,,,,,,4,,3,,,,,,,
,Jul 22, 2018 11:00 PM,,,,2,,,,,,,,,,,,1,,,,1,
,Jul 22, 2018 11:15 PM,,1,4,1,,,1,1,,1,3,,,,,,,,,,
,Jul 22, 2018 11:30 PM,,,,3,,,,,,,,2,,,,,,,,1,
,Jul 22, 2018 11:45 PM,,1,1,5,,,,2,,1,1,,,,,1,,,,2,
,Jul 23, 2018 12:00 AM,,,1,,,,1,,,,,,,,,,,,,,
,Jul 23, 2018 12:15 AM,,1,,,,1,,,,,,,,,,,,,,,
,Jul 23, 2018 12:30 AM,,,,,,,,,,,,,,,,,,,,,
,Jul 23, 2018 12:45 AM,,,,2,,,,,,,,2,,,,,,,,,
,Jul 23, 2018 1:00 AM,,,,,,,,,,,,,,,,,,,,,
,Jul 23, 2018 1:15 AM,,,,,,,,,,,,,,,,,,,,,
,Jul 23, 2018 1:30 AM,,,,,,,,,,,,,,,,,,,,,
,Jul 23, 2018 1:45 AM,,,,2,,,,2,,,,,,,,,,,,,
,Jul 23, 2018 2:00 AM,,1,2,1,,1,1,,,,1,1,,,,,,,,,
,Jul 23, 2018 2:15 AM,,,2,1,,,1,,,,1,1,,,,,,,,,
,Jul 23, 2018 2:30 AM,,1,,3,,,,1,,1,,,,,,1,,,,1,
,Jul 23, 2018 2:45 AM,,2,6,2,,1,2,,,1,2,1,,,1,,,,1,1,
,Jul 23, 2018 3:00 AM,,,,,,,,,,,,,,,,,,,,,
,Jul 23, 2018 3:15 AM,,,9,2,,,5,,,,4,,,,,1,,,,1,
,Jul 23, 2018 3:30 AM,,,4,,,,2,,,,2,,,,,,,,,,
,Jul 23, 2018 3:45 AM,,,2,,,,1,,,,1,,,,,,,,,,
,Jul 23, 2018 4:00 AM,,,3,,,,1,,,,2,,,,,,,,,,
,Jul 23, 2018 4:15 AM,,,,,,,,,,,,,,,,,,,,,
