STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00410433,"AUSTIN GREAT HILLS, TX US",8/14/16,0.79,94,73
USC00410433,"AUSTIN GREAT HILLS, TX US",8/15/16,2.78,78,69
USC00410433,"AUSTIN GREAT HILLS, TX US",8/16/16,1.73,73,69
USC00410433,"AUSTIN GREAT HILLS, TX US",8/17/16,0.76,78,73
USC00410433,"AUSTIN GREAT HILLS, TX US",8/18/16,0.31,79,72
USC00410433,"AUSTIN GREAT HILLS, TX US",8/19/16,0.05,85,72
USC00410433,"AUSTIN GREAT HILLS, TX US",8/20/16,0.11,91,71
USC00410433,"AUSTIN GREAT HILLS, TX US",8/21/16,1.16,79,70
USC00410433,"AUSTIN GREAT HILLS, TX US",8/22/16,0.01,79,70
USC00410433,"AUSTIN GREAT HILLS, TX US",8/23/16,0.14,88,73
USC00410433,"AUSTIN GREAT HILLS, TX US",8/24/16,0,91,74
USC00410433,"AUSTIN GREAT HILLS, TX US",8/25/16,0,91,73
USC00410433,"AUSTIN GREAT HILLS, TX US",8/26/16,0,91,72
USC00410433,"AUSTIN GREAT HILLS, TX US",8/27/16,0,91,69
USC00410433,"AUSTIN GREAT HILLS, TX US",8/28/16,0,90,69
USC00410433,"AUSTIN GREAT HILLS, TX US",8/29/16,0.07,89,69
USC00410433,"AUSTIN GREAT HILLS, TX US",8/30/16,0.23,88,71
USC00410433,"AUSTIN GREAT HILLS, TX US",8/31/16,0,88,71
USC00410433,"AUSTIN GREAT HILLS, TX US",9/1/16,0,91,71
USC00410433,"AUSTIN GREAT HILLS, TX US",9/2/16,0,92,71
USC00410433,"AUSTIN GREAT HILLS, TX US",9/3/16,0,87,71
USC00410433,"AUSTIN GREAT HILLS, TX US",9/4/16,0,89,71
USC00410433,"AUSTIN GREAT HILLS, TX US",9/5/16,0,92,71
USC00410433,"AUSTIN GREAT HILLS, TX US",9/6/16,0,91,73
USC00410433,"AUSTIN GREAT HILLS, TX US",9/7/16,0.05,91,76
USC00410433,"AUSTIN GREAT HILLS, TX US",9/8/16,0,93,75
USC00410433,"AUSTIN GREAT HILLS, TX US",9/9/16,0,93,74
USC00410433,"AUSTIN GREAT HILLS, TX US",9/10/16,0,92,73
USC00410433,"AUSTIN GREAT HILLS, TX US",9/11/16,0.07,89,67
USC00410433,"AUSTIN GREAT HILLS, TX US",9/12/16,0,89,67
USC00410433,"AUSTIN GREAT HILLS, TX US",9/13/16,0,92,67
USC00410433,"AUSTIN GREAT HILLS, TX US",9/14/16,0,91,71
USC00410433,"AUSTIN GREAT HILLS, TX US",9/15/16,0.02,89,69
USC00410433,"AUSTIN GREAT HILLS, TX US",9/16/16,0,92,70
USC00410433,"AUSTIN GREAT HILLS, TX US",9/17/16,0,94,71
USC00410433,"AUSTIN GREAT HILLS, TX US",9/18/16,0,94,71
USC00410433,"AUSTIN GREAT HILLS, TX US",9/19/16,0,96,72
USC00410433,"AUSTIN GREAT HILLS, TX US",9/20/16,0,97,72
USC00410433,"AUSTIN GREAT HILLS, TX US",9/21/16,0,95,72
USC00410433,"AUSTIN GREAT HILLS, TX US",9/22/16,0,91,67
USC00410433,"AUSTIN GREAT HILLS, TX US",9/23/16,0,93,67
USC00410433,"AUSTIN GREAT HILLS, TX US",9/24/16,0.04,90,74
USC00410433,"AUSTIN GREAT HILLS, TX US",9/25/16,0,92,75
USC00410433,"AUSTIN GREAT HILLS, TX US",9/26/16,0.9,83,69
USC00410433,"AUSTIN GREAT HILLS, TX US",9/27/16,0.05,70,64
USC00410433,"AUSTIN GREAT HILLS, TX US",9/28/16,0,76,60
USC00410433,"AUSTIN GREAT HILLS, TX US",9/29/16,0,86,58
USC00410433,"AUSTIN GREAT HILLS, TX US",9/30/16,0,81,56
USC00410433,"AUSTIN GREAT HILLS, TX US",10/1/16,0,80,55
USC00410433,"AUSTIN GREAT HILLS, TX US",10/2/16,0,76,55
USC00410433,"AUSTIN GREAT HILLS, TX US",10/3/16,0,83,55
USC00410433,"AUSTIN GREAT HILLS, TX US",10/4/16,0,85,59
USC00410433,"AUSTIN GREAT HILLS, TX US",10/5/16,0,89,68
USC00410433,"AUSTIN GREAT HILLS, TX US",10/6/16,0,91,72
USC00410433,"AUSTIN GREAT HILLS, TX US",10/7/16,0,91,72
USC00410433,"AUSTIN GREAT HILLS, TX US",10/8/16,0,84,58
USC00410433,"AUSTIN GREAT HILLS, TX US",10/9/16,0,81,57
