Time,Butler Trail : Crenshaw Bridge - Urban Trail,Butler Trail: South Lamar - Urban Trail,Butler Trail: North Congress - Urban Trail,Butler Trail : Longhorn Dam - Urban Trail,Shoal Creek Trail & 24th St- Urban Trail
12/8/16 0:00,1745,,,,
12/9/16 0:00,1936,,,,
12/10/16 0:00,5707,,,,
12/11/16 0:00,6561,,,,
12/12/16 0:00,5229,,,,
12/13/16 0:00,5781,,,,
12/14/16 0:00,4329,,,,
12/15/16 0:00,4212,,,,
12/16/16 0:00,5753,,,,
12/17/16 0:00,9020,,,,
12/18/16 0:00,1818,,,,
12/19/16 0:00,2516,,,,
12/20/16 0:00,4757,,,,
12/21/16 0:00,7860,,,,
12/22/16 0:00,7409,,,,
12/23/16 0:00,5945,,,,
12/24/16 0:00,4244,,,,
12/25/16 0:00,3816,,,,
12/26/16 0:00,4662,,,,
12/27/16 0:00,4830,,,,
12/28/16 0:00,4951,,,,
12/29/16 0:00,3554,,,,
12/30/16 0:00,3339,,,,
12/31/16 0:00,5952,,,,
1/1/17 0:00,7555,,,,
1/2/17 0:00,7645,,,,
1/3/17 0:00,4815,,,,
1/4/17 0:00,2675,,,,
1/5/17 0:00,3307,,,,
1/6/17 0:00,965,,,,
1/7/17 0:00,3279,,,,
1/8/17 0:00,4813,,,,
1/9/17 0:00,3756,,,,
1/10/17 0:00,5100,,,,
1/11/17 0:00,4376,,,,
1/12/17 0:00,4479,,,,
1/13/17 0:00,2707,,,,
1/14/17 0:00,4564,,,,
1/15/17 0:00,3883,,,,
1/16/17 0:00,4021,,,,
1/17/17 0:00,1504,,,,
1/18/17 0:00,1544,,,,
1/19/17 0:00,4717,,,,
1/20/17 0:00,4467,,,,
1/21/17 0:00,7115,,,,
1/22/17 0:00,4829,,,,
1/23/17 0:00,4710,,,,
1/24/17 0:00,4981,,,,
1/25/17 0:00,4142,,,,
1/26/17 0:00,3561,,,,
1/27/17 0:00,2801,,,,141
1/28/17 0:00,6797,,,,40
1/29/17 0:00,7832,,,,513
1/30/17 0:00,4936,,,,26
1/31/17 0:00,4930,,,,19
2/1/17 0:00,4694,,,,26
2/2/17 0:00,3294,,,,17
2/3/17 0:00,2352,,,,43
2/4/17 0:00,4225,,,,17
2/5/17 0:00,5778,,,,19
2/6/17 0:00,3489,,,,25
2/7/17 0:00,5418,,,,41
